detector-Id,latitude,longitude,detector-type,lane-id,lane-name
CBDS32 - I-29 NB @ Nebraska Ave ,41246860,-95906672,Microwave Radar,1,CBDS32-NB LL
CBDS32 - I-29 NB @ Nebraska Ave ,41246860,-95906672,Microwave Radar,2,CBDS32-NB RL
CBDS32 - I-29 SB @ Nebraska Ave ,41246860,-95906938,Microwave Radar,2,CBDS32-SB RL
CBDS32 - I-29 SB @ Nebraska Ave ,41246860,-95906938,Microwave Radar,1,CBDS32-SB LL
CBDS33 - I-29 NB @ 9th Ave Off R,41251663,-95906678,Microwave Radar,1,CBDS33-NB LL
CBDS33 - I-29 NB @ 9th Ave Off R,41251663,-95906678,Microwave Radar,2,CBDS33-NB RL
CBDS33 - I-29 SB @ 9th Ave On Ra,41251666,-95906979,Microwave Radar,1,CBDS33-SB LL
CBDS33 - I-29 SB @ 9th Ave On Ra,41251666,-95906979,Microwave Radar,2,CBDS33-SB RL
CBDS31 - I-29 NB @ Nebraska Ave ,41242513,-95905026,Microwave Radar,1,CBDS31-NB LL
CBDS31 - I-29 NB @ Nebraska Ave ,41242513,-95905026,Microwave Radar,2,CBDS31-NB RL
CBDS31 - I-29 SB @ Nebraska Ave ,41242376,-95905261,Microwave Radar,1,CBDS31-SB LL
CBDS31 - I-29 SB @ Nebraska Ave ,41242376,-95905261,Microwave Radar,2,CBDS31-SB RL
CBDS36 - I-480 WB @ I-29,41261524,-95913478,Microwave Radar,2,CBDS36-WB RL
CBDS36 - I-480 WB @ I-29,41261524,-95913478,Microwave Radar,1,CBDS36-WB LL
CBDS36 - I-480 EB @ I-29,41261324,-95913283,Microwave Radar,1,CBDS36-EB LL
CBDS36 - I-480 EB @ I-29,41261324,-95913283,Microwave Radar,2,CBDS36-EB RL
CBDS36 - I-480 EB Off Ramp @ I-2,41261107,-95913174,Microwave Radar,1,CBDS36-EB EX LL
CBDS36 - I-480 EB Off Ramp @ I-2,41261107,-95913174,Microwave Radar,2,CBDS36-EB EX RL
CBDS39 - I-480 EB @ Missouri Riv,41260234,-95917608,Microwave Radar,4,CBDS39-EB RL
CBDS39 - I-480 EB @ Missouri Riv,41260234,-95917608,Microwave Radar,3,CBDS39-EB CRL
CBDS39 - I-480 EB @ Missouri Riv,41260234,-95917608,Microwave Radar,2,CBDS39-EB CLL
CBDS39 - I-480 EB @ Missouri Riv,41260234,-95917608,Microwave Radar,1,CBDS39-EB LL
CBDS39 - I-480 WB @ Missouri Riv,41260499,-95917725,Microwave Radar,1,CBDS39-WB LL
CBDS39 - I-480 WB @ Missouri Riv,41260499,-95917725,Microwave Radar,2,CBDS39-WB CLL
CBDS39 - I-480 WB @ Missouri Riv,41260499,-95917725,Microwave Radar,3,CBDS39-WB CRL
CBDS39 - I-480 WB @ Missouri Riv,41260499,-95917725,Microwave Radar,4,CBDS 39-WB RL
CBDS01 - I-80 EB @ Missouri Rive,41231910,-95907158,Microwave Radar,2,CBDS01-EB CL
CBDS01 - I-80 EB @ Missouri Rive,41231910,-95907158,Microwave Radar,1,CBDS01-EB LL
CBDS01 - I-80 EB @ Missouri Rive,41231910,-95907158,Microwave Radar,3,CBDS01-EB RL
CBDS01 - I-80 WB @ Missouri Rive,41232103,-95907161,Microwave Radar,1,CBDS01-WB LL
CBDS01 - I-80 WB @ Missouri Rive,41232103,-95907161,Microwave Radar,4,CBDS01-WB RL
CBDS01 - I-80 WB @ Missouri Rive,41232103,-95907161,Microwave Radar,2,CBDS01-WB CL LL
CBDS01 - I-80 WB @ Missouri Rive,41232103,-95907161,Microwave Radar,3,CBDS01-WB CL RL
CBDS27 - I-29 NB @ Basswood Rd,41189348,-95823318,Microwave Radar,1,CBDS27-NB LL
CBDS27 - I-29 NB @ Basswood Rd,41189348,-95823318,Microwave Radar,2,CBDS27-NB RL
CBDS27 - I-29 SB @ Basswood Rd,41189356,-95823850,Microwave Radar,1,CBDS27-SB LL
CBDS27 - I-29 SB @ Basswood Rd,41189356,-95823850,Microwave Radar,2,CBDS27-SB RL
CBDS52 - I-29 NB @ MM 44.60,41174476,-95823483,Microwave Radar,1,CBDS52-NB LL
CBDS52 - I-29 NB @ MM 44.60,41174476,-95823483,Microwave Radar,2,CBDS52-NB RL
CBDS52 - I-29 SB @ MM 44.60,41174490,-95823815,Microwave Radar,2,CBDS52-SB RL
CBDS52 - I-29 SB @ MM 44.60,41174490,-95823815,Microwave Radar,1,CBDS52-SB LL
CBDS26 - I-29 NB @ Co Rd H10,41149393,-95821854,Microwave Radar,1,CBDS26-NB LL
CBDS26 - I-29 NB @ Co Rd H10,41149393,-95821854,Microwave Radar,2,CBDS26-NB RL
CBDS26 - I-29 SB @ Co Rd H10,41149387,-95822441,Microwave Radar,2,CBDS26-SB RL
CBDS26 - I-29 SB @ Co Rd H10,41149387,-95822441,Microwave Radar,1,CBDS26-SB LL
CBDS28 - I-29 NB @ South of US 2,41206806,-95823093,Microwave Radar,1,CBDS28-NB LL
CBDS28 - I-29 NB @ South of US 2,41206806,-95823093,Microwave Radar,2,CBDS28-NB RL
CBDS28 - I-29 SB @ South of US 2,41206826,-95823660,Microwave Radar,2,CBDS28-SB RL
CBDS28 - I-29 SB @ South of US 2,41206826,-95823660,Microwave Radar,1,CBDS28-SB LL
CBDS19 - I-29 NB Off Ramp @ I-80,41226011,-95836415,Microwave Radar,1,CBDS19-NB EX
CBDS16 - I-80 EB @ I-29 SB East ,0,0,Microwave Radar,2,CBDS16-EB CL
CBDS16 - I-80 EB @ I-29 SB East ,0,0,Microwave Radar,3,CBDS16-EB RL
CBDS16 - I-80 EB @ I-29 SB East ,0,0,Microwave Radar,1,CBDS16-EB LL
CBDS14 - I-80 WB @ I-80/29 Inter,41236983,-95899816,Microwave Radar,1,CBDS14- I29 SB
CBDS04 - I-29 SB Off Ramp @ I-80,41238334,-95901911,Microwave Radar,1,CBDS04-SB EX
CBDS04 - I-29 SB @ I-80 WB Off R,41238423,-95901657,Microwave Radar,2,CBDS04-SB RL
CBDS04 - I-29 SB @ I-80 WB Off R,41238423,-95901657,Microwave Radar,1,CBDS04-SB LL
CBDS19 - I-29 NB @ I-80 EB Off R,41225921,-95836732,Microwave Radar,2,CBDS19-NB RL
CBDS19 - I-29 NB @ I-80 EB Off R,41225921,-95836732,Microwave Radar,1,CBDS19-NB LL
CBDS35 - I-29 SB On Ramp @ I-480,41258956,-95907429,Microwave Radar,1,CBDS35-SB EN
CBDS36 - I-480 WB On Ramp @ I-29,41261679,-95913571,Microwave Radar,2,CBDS36-WB EN RL
CBDS36 - I-480 WB On Ramp @ I-29,41261679,-95913571,Microwave Radar,1,CBDS36-WB EN LL
CBDS37 - I-29 NB On Ramp @ I-480,41265354,-95908079,Microwave Radar,1,CBDS37-NB EN
CBDS51 - I-680 EB Off Ramp @ I-2,41352336,-95906225,Microwave Radar,1,CBDS51-EB EX
CBDS35 - I-29 SB @ I-480 EB On R,41258959,-95907230,Microwave Radar,1,CBDS35-SB LL
CBDS35 - I-29 SB @ I-480 EB On R,41258959,-95907230,Microwave Radar,2,CBDS35-SB RL
CBDS16 - I-29 SB @ I-80 EB East ,0,0,Microwave Radar,1,CBDS16-SB LL
CBDS16 - I-29 SB @ I-80 EB East ,0,0,Microwave Radar,2,CBDS16-SB RL
CBDS01 - I-80 EB Off Ramp @ to S,41231838,-95907151,Microwave Radar,1,CBDS01-EB EX to 24th St
CBDS01 - I-80 WB On Ramp @ I-29 ,41232261,-95907184,Microwave Radar,1,CBDS01-WB EN
CBDS32 - I-29 SB Off Ramp @ Nebr,41246866,-95907172,Microwave Radar,1,CBDS32-SB EX
CBDS32 - I-29 NB On Ramp @ Nebra,41246839,-95906474,Microwave Radar,1,CBDS32-NB EN
CBDS33 - I-29 SB On Ramp @ 9th A,41251677,-95907160,Microwave Radar,1,CBDS33-SB EN
CBDS33 - I-29 NB Off Ramp @ 9th ,41251650,-95906512,Microwave Radar,1,CBDS33-NB EX
CBDS14 - I-29/80 SB On Ramp @ S ,41231911,-95851954,Microwave Radar,1,CBDS14- I29 SB
CBDS48 - I-29 SB On Ramp @ I-680,41350604,-95898178,Microwave Radar,1,CBDS48-SB EN
CBDS48 - I-29 NB Off Ramp @ Co R,41350870,-95897589,Microwave Radar,1,CBDS48-NB EX
CBDS55 - I-29/80 NB On Ramp @ S ,41232928,-95883001,Microwave Radar,1,CBDS55-NB EN
CBDS55 - I-80 WB EXP @ West of S,41232470,-95883006,Microwave Radar,2,CBDS55-WB RL
CBDS55 - I-80 WB EXP @ West of S,41232470,-95883006,Microwave Radar,1,CBDS55-WB LL
CBDS55 - I-80/29 EB @ S 24th St ,41232122,-95882984,Microwave Radar,1,CBDS55-EB LL
CBDS55 - I-80/29 EB @ S 24th St ,41232122,-95882984,Microwave Radar,2,CBDS55-EB CL
CBDS55 - I-80/29 EB @ S 24th St ,41232122,-95882984,Microwave Radar,3,CBDS55-EB RL
CBDS58 - I-80 WB EXP @ East of S,41232409,-95874171,Microwave Radar,2,CBDS58-WB RL
CBDS58 - I-80 WB EXP @ East of S,41232409,-95874171,Microwave Radar,1,CBDS58-WB LL
CBDS58 - I-80/29 EB @ S 24th St ,41232197,-95874186,Microwave Radar,1,CBDS58-EB LL
CBDS58 - I-80/29 EB @ S 24th St ,41232197,-95874186,Microwave Radar,2,CBDS58-EB CL
CBDS58 - I-80/29 EB @ S 24th St ,41232197,-95874186,Microwave Radar,3,CBDS58-EB RL
CBDS58 - I-29/80 NB Off Ramp @ S,41232792,-95874180,Microwave Radar,1,CBDS58-NB EX
CBDS43 - I-29 NB On Ramp @ N 25t,41275169,-95877902,Microwave Radar,1,CBDS43-NB EN
CBDS43 - I-29 SB Off Ramp @ N 25,41275645,-95878260,Microwave Radar,1,CBDS43-SB EX
CBDS45 - I-29 SB Off Ramp @ N 16,41287375,-95867359,Microwave Radar,1,CBDS45-SB EX LL
CBDS45 - I-29 SB Off Ramp @ N 16,41287375,-95867359,Microwave Radar,2,CBDS45-SB EX RL
CBDS61 - I-80 WB EXP @ I-29 West,41232759,-95891018,Microwave Radar,3,CBDS61-WB RL
CBDS61 - I-80 WB EXP @ I-29 West,41232759,-95891018,Microwave Radar,1,CBDS61-EB LL
CBDS61 - I-80 WB EXP @ I-29 West,41232759,-95891018,Microwave Radar,2,CBDS61-WB LL
CBDS61 - I-80 EB @ I-29 West Sys,41232289,-95890984,Microwave Radar,1,CBDS61-EB CL
